***** Spectrum of image ../n.sio-217104.cm *****
      Bounding box: blc=(251,288,1,1), trc=(251,288,40,1)
      Unit of datavalues: JY/BEAM
      Unit of spectrum:   K
      Beam size:          1.05" x 0.93"
      Conversion of Jy/beam to K: 26.52 K/(Jy/beam)
      Axes of planes : RA---SIN, DEC--SIN

Axis 4 (STOKES):   1
Axis 3 (VELO-LSR)
  plane    Velocity     Sum      Mean      Npoints
     1        0.0      4.90      4.90           0
     2        0.5      1.96      1.96           0
     3        1.0      2.16      2.16           0
     4        1.5      3.07      3.07           0
     5        2.0      3.07      3.07           0
     6        2.5      3.63      3.63           0
     7        3.0      2.19      2.19           0
     8        3.5      4.05      4.05           0
     9        4.0      2.80      2.80           0
    10        4.5      5.62      5.62           0
    11        5.0      7.83      7.83           0
    12        5.5      8.48      8.48           0
    13        6.0      10.6      10.6           0
    14        6.5      10.6      10.6           0
    15        7.0      6.50      6.50           0
    16        7.5      3.39      3.39           0
    17        8.0      3.56      3.56           0
    18        8.5      2.57      2.57           0
    19        9.0      5.38      5.38           0
    20        9.5      5.57      5.57           0
    21       10.0      6.59      6.59           0
    22       10.5      13.3      13.3           0
    23       11.0      13.3      13.3           0
    24       11.5      11.0      11.0           0
    25       12.0      9.44      9.44           0
    26       12.5      9.10      9.10           0
    27       13.0      3.90      3.90           0
    28       13.5      7.18      7.18           0
    29       14.0      9.20      9.20           0
    30       14.5      9.15      9.15           0
    31       15.0      4.12      4.12           0
    32       15.5      4.12      4.12           0
    33       16.0      2.03      2.03           0
    34       16.5      1.77      1.77           0
    35       17.0      2.89      2.89           0
    36       17.5      3.34      3.34           0
    37       18.0      3.57      3.57           0
    38       18.5      1.28      1.28           0
    39       19.0      1.82      1.82           0
    40       19.5      1.89      1.89           0

Axis 4 (STOKES)
  cube      Stokes      Sum      Mean      Npoints
!     1        1.0      217.      5.42           3

 Total                  Sum      Mean      Npoints
!                       217.      5.42           3
