          Radius         Density           Mass          Pressure       Luminosity      Temperature     Grad
  0     0.00000e+00     1.28901e+02     0.00000e+00     1.91185e+17     0.00000e+00     1.53000e+07     0.000
  1     6.96000e+08     1.25647e+02     1.82042e+29     1.90061e+17     1.25009e+30     1.52819e+07     0.000
  2     1.39200e+09     1.21980e+02     7.14381e+29     1.87868e+17     5.22411e+30     1.52450e+07     0.200
  3     2.08800e+09     1.18751e+02     2.78160e+30     1.85780e+17     2.17519e+31     1.51786e+07     0.212
  4     2.78400e+09     1.15014e+02     7.30971e+30     1.82261e+17     6.01278e+31     1.50762e+07     0.229
  5     3.48000e+09     1.10730e+02     1.51063e+31     1.77224e+17     1.28820e+32     1.49365e+07     0.245
  6     4.17600e+09     1.05978e+02     2.68348e+31     1.70810e+17     2.34064e+32     1.47600e+07     0.259
  7     4.87200e+09     1.00862e+02     4.29990e+31     1.63238e+17     3.78836e+32     1.45489e+07     0.271
  8     5.56800e+09     9.54876e+01     6.39383e+31     1.54753e+17     5.62398e+32     1.43063e+07     0.282
  9     6.26400e+09     8.99539e+01     8.98302e+31     1.45608e+17     7.80464e+32     1.40359e+07     0.292
 10     6.96000e+09     8.43510e+01     1.20701e+32     1.36045e+17     1.02589e+33     1.37417e+07     0.300
 11     7.65600e+09     7.87577e+01     1.56438e+32     1.26285e+17     1.28967e+33     1.34281e+07     0.306
 12     8.35200e+09     7.32420e+01     1.96814e+32     1.16524e+17     1.56209e+33     1.30992e+07     0.311
 13     9.04800e+09     6.78605e+01     2.41499e+32     1.06928e+17     1.83376e+33     1.27590e+07     0.315
 14     9.74400e+09     6.26595e+01     2.90088e+32     9.76317e+16     2.09643e+33     1.24115e+07     0.318
 15     1.04400e+10     5.76751e+01     3.42121e+32     8.87416e+16     2.34349e+33     1.20601e+07     0.319
 16     1.11360e+10     5.29346e+01     3.97102e+32     8.03348e+16     2.57023e+33     1.17078e+07     0.320
 17     1.18320e+10     4.84572e+01     4.54516e+32     7.24634e+16     2.77383e+33     1.13575e+07     0.319
 18     1.25280e+10     4.42546e+01     5.13848e+32     6.51578e+16     2.95310e+33     1.10114e+07     0.318
 19     1.32240e+10     4.03325e+01     5.74597e+32     5.84297e+16     3.10824e+33     1.06716e+07     0.316
 20     1.39200e+10     3.66911e+01     6.36285e+32     5.22757e+16     3.24045e+33     1.03396e+07     0.314
 21     1.46160e+10     3.38201e+01     6.98466e+32     4.66807e+16     3.35159e+33     1.00167e+07     0.311
 22     1.53120e+10     3.10874e+01     7.61657e+32     4.15458e+16     3.44176e+33     9.69858e+06     0.309
 23     1.60080e+10     2.84968e+01     8.25405e+32     3.68561e+16     3.51386e+33     9.38596e+06     0.306
 24     1.67040e+10     2.60516e+01     8.89274e+32     3.25937e+16     3.57073e+33     9.07956e+06     0.302
 25     1.74000e+10     2.37537e+01     9.52850e+32     2.87381e+16     3.61500e+33     8.77994e+06     0.299
 26     1.80960e+10     2.16038e+01     1.01575e+33     2.52666e+16     3.64904e+33     8.48751e+06     0.295
 27     1.87920e+10     1.96011e+01     1.07762e+33     2.21547e+16     3.67490e+33     8.20256e+06     0.292
 28     1.94880e+10     1.77434e+01     1.13817e+33     1.93771e+16     3.69432e+33     7.92533e+06     0.288
 29     2.01840e+10     1.60271e+01     1.19710e+33     1.69078e+16     3.70876e+33     7.65593e+06     0.285
 30     2.08800e+10     1.44475e+01     1.25421e+33     1.47209e+16     3.71939e+33     7.39444e+06     0.282
 31     2.15760e+10     1.29991e+01     1.30930e+33     1.27908e+16     3.72713e+33     7.14085e+06     0.279
 32     2.22720e+10     1.16755e+01     1.36223e+33     1.10931e+16     3.73272e+33     6.89513e+06     0.276
 33     2.29680e+10     1.04697e+01     1.41288e+33     9.60416e+15     3.73673e+33     6.65720e+06     0.273
 34     2.36640e+10     9.37440e+00     1.46119e+33     8.30202e+15     3.73957e+33     6.42696e+06     0.271
 35     2.43600e+10     8.38223e+00     1.50710e+33     7.16613e+15     3.74158e+33     6.20426e+06     0.268
 36     2.50560e+10     7.48566e+00     1.55060e+33     6.17755e+15     3.74298e+33     5.98895e+06     0.266
 37     2.57520e+10     6.67730e+00     1.59171e+33     5.31898e+15     3.74395e+33     5.78087e+06     0.264
 38     2.64480e+10     5.94994e+00     1.63044e+33     4.57475e+15     3.74463e+33     5.57981e+06     0.262
 39     2.71440e+10     5.29669e+00     1.66684e+33     3.93074e+15     3.74509e+33     5.38560e+06     0.260
 40     2.78400e+10     4.71097e+00     1.70097e+33     3.37430e+15     3.74540e+33     5.19803e+06     0.259
 41     2.85360e+10     4.18658e+00     1.73291e+33     2.89420e+15     3.74561e+33     5.01688e+06     0.257
 42     2.92320e+10     3.71773e+00     1.76272e+33     2.48047e+15     3.74576e+33     4.84196e+06     0.256
 43     2.99280e+10     3.29905e+00     1.79051e+33     2.12434e+15     3.74585e+33     4.67305e+06     0.255
 44     3.06240e+10     2.92557e+00     1.81635e+33     1.81809e+15     3.74592e+33     4.50994e+06     0.254
 45     3.13200e+10     2.59273e+00     1.84035e+33     1.55497e+15     3.74596e+33     4.35242e+06     0.252
 46     3.20160e+10     2.29637e+00     1.86259e+33     1.32909e+15     3.74599e+33     4.20028e+06     0.251
 47     3.27120e+10     2.03269e+00     1.88318e+33     1.13532e+15     3.74601e+33     4.05333e+06     0.251
 48     3.34080e+10     1.79826e+00     1.90220e+33     9.69204e+14     3.74602e+33     3.91136e+06     0.250
 49     3.41040e+10     1.58996e+00     1.91976e+33     8.26882e+14     3.74603e+33     3.77417e+06     0.249
 50     3.48000e+10     1.40499e+00     1.93593e+33     7.05014e+14     3.74603e+33     3.64158e+06     0.248
 51     3.54960e+10     1.24082e+00     1.95081e+33     6.00718e+14     3.74603e+33     3.51340e+06     0.248
 52     3.61920e+10     1.09518e+00     1.96449e+33     5.11504e+14     3.74604e+33     3.38946e+06     0.247
 53     3.68880e+10     9.66036e-01     1.97703e+33     4.35231e+14     3.74604e+33     3.26957e+06     0.246
 54     3.75840e+10     8.51578e-01     1.98853e+33     3.70053e+14     3.74604e+33     3.15358e+06     0.246
 55     3.82800e+10     7.50176e-01     1.99905e+33     3.14383e+14     3.74604e+33     3.04132e+06     0.245
 56     3.89760e+10     6.60377e-01     2.00867e+33     2.66860e+14     3.74604e+33     2.93262e+06     0.245
 57     3.96720e+10     5.80889e-01     2.01744e+33     2.26312e+14     3.74604e+33     2.82735e+06     0.245
 58     4.03680e+10     5.10557e-01     2.02544e+33     1.91734e+14     3.74604e+33     2.72534e+06     0.244
 59     4.10640e+10     4.48354e-01     2.03271e+33     1.62266e+14     3.74604e+33     2.62647e+06     0.244
